month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,mean_sunshine_hrs,mean_temp,wet_bulb_temperature,date,year
5,18.6,15,107.5,83.7,7.0,28.5,26.278494623655913,1996-05-01,1996
6,94.3,15,265.8,84.3,5.9,28.3,26.149166666666666,1996-06-01,1996
7,55.3,10,162.3,81.9,6.7,28.3,25.853763440860217,1996-07-01,1996
8,64.6,18,258.4,83.4,5.0,27.4,25.179032258064513,1996-08-01,1996
9,66.5,18,297.0,82.2,4.8,27.7,25.31722222222222,1996-09-01,1996
10,45.8,19,300.0,83.0,4.3,27.5,25.17997311827957,1996-10-01,1996
11,60.5,16,180.2,83.5,4.4,27.3,25.067777777777778,1996-11-01,1996
12,72.4,15,185.5,82.9,4.5,26.6,24.34032258064516,1996-12-01,1996
1,13.9,3,15.4,77.3,7.7,27.1,23.996774193548386,1997-01-01,1997
2,35.7,8,105.4,80.8,4.9,27.4,24.75848214285714,1997-02-01,1997
3,17.4,10,34.3,79.6,7.0,28.1,25.22768817204301,1997-03-01,1997
4,44.6,12,118.4,82.7,5.6,28.1,25.68263888888889,1997-04-01,1997
5,35.6,6,41.6,77.7,6.7,29.3,26.15752688172043,1997-05-01,1997
6,25.0,12,78.9,76.7,7.3,29.3,25.96847222222222,1997-06-01,1997
7,5.4,9,18.6,76.5,6.5,28.8,25.524327956989247,1997-07-01,1997
8,61.4,9,86.6,78.2,5.7,28.8,25.725268817204302,1997-08-01,1997
9,24.3,3,31.1,77.0,3.2,28.8,25.580277777777777,1997-09-01,1997
10,36.5,8,78.4,81.0,3.2,28.2,25.561693548387098,1997-10-01,1997
11,53.6,13,158.3,82.8,5.4,27.8,25.439722222222223,1997-11-01,1997
12,65.8,23,351.9,85.3,5.3,27.3,25.35846774193548,1997-12-01,1997
1,79.7,13,268.8,83.2,7.4,28.0,25.736424731182794,1998-01-01,1998
2,11.9,5,32.5,78.3,8.9,28.9,25.87827380952381,1998-02-01,1998
3,20.9,7,58.8,77.8,7.6,29.5,26.263440860215052,1998-03-01,1998
4,64.9,13,187.7,81.8,6.7,29.2,26.69722222222222,1998-04-01,1998
5,83.7,18,370.8,82.3,5.9,29.4,26.913978494623656,1998-05-01,1998
6,42.8,15,198.8,82.1,5.3,28.6,26.106944444444444,1998-06-01,1998
7,55.8,18,259.2,81.8,5.1,28.1,25.640860215053763,1998-07-01,1998
8,35.5,18,195.0,85.4,4.6,27.5,25.50443548387097,1998-08-01,1998
9,52.0,17,258.2,84.1,4.5,27.9,25.755277777777778,1998-09-01,1998
10,32.4,20,222.7,82.3,5.0,28.0,25.591397849462368,1998-10-01,1998
11,57.5,11,107.2,81.9,4.6,27.9,25.44875,1998-11-01,1998
12,84.4,22,463.4,88.5,3.1,26.6,25.08508064516129,1998-12-01,1998
1,52.5,19,193.9,88.3,3.9,26.6,25.05483870967742,1999-01-01,1999
2,32.1,9,67.4,82.4,6.7,27.2,24.86636904761905,1999-02-01,1999
3,52.4,16,181.4,87.5,4.3,27.1,25.45228494623656,1999-03-01,1999
4,29.2,14,88.5,82.6,5.8,28.3,25.886805555555554,1999-04-01,1999
5,42.8,13,157.1,84.4,5.7,28.0,25.910618279569892,1999-05-01,1999
6,34.5,13,103.4,81.9,6.0,28.2,25.735972222222223,1999-06-01,1999
7,51.4,11,225.4,82.7,6.8,27.8,25.40255376344086,1999-07-01,1999
8,42.4,13,204.0,84.1,5.7,27.5,25.37244623655914,1999-08-01,1999
9,41.5,13,125.9,81.7,6.5,27.9,25.40402777777778,1999-09-01,1999
10,32.8,20,205.0,84.6,4.7,27.2,25.106182795698924,1999-10-01,1999
11,39.0,19,241.5,84.4,4.7,27.3,25.144027777777776,1999-11-01,1999
12,76.9,17,340.5,85.3,4.1,26.8,24.823924731182796,1999-12-01,1999
1,127.6,14,275.2,86.9,4.0,26.3,24.637768817204304,2000-01-01,2000
2,39.9,18,237.8,86.5,5.8,26.6,24.785344827586208,2000-02-01,2000
3,37.9,15,238.3,85.8,5.8,27.2,25.315188172043012,2000-03-01,2000
4,87.4,20,311.6,85.6,5.3,27.5,25.55430555555556,2000-04-01,2000
5,36.7,10,96.8,82.4,6.8,28.6,26.17069892473118,2000-05-01,2000
6,41.7,16,157.5,84.3,4.6,27.6,25.51236111111111,2000-06-01,2000
7,34.6,12,116.1,82.6,6.5,28.1,25.746370967741935,2000-07-01,2000
8,28.1,18,113.5,83.8,5.1,27.5,25.35456989247312,2000-08-01,2000
9,25.7,12,81.1,82.2,6.2,28.0,25.6075,2000-09-01,2000
10,38.3,14,120.9,82.1,4.0,27.8,25.331989247311828,2000-10-01,2000
11,72.0,21,385.7,87.1,3.7,27.3,25.58319444444444,2000-11-01,2000
12,45.8,18,236.0,87.6,4.2,27.0,25.335887096774194,2000-12-01,2000
1,125.4,21,425.8,87.4,4.4,26.5,24.856854838709676,2001-01-01,2001
2,28.2,11,86.6,83.6,4.8,27.0,24.78809523809524,2001-02-01,2001
3,41.1,20,297.3,84.5,5.4,27.5,25.350806451612904,2001-03-01,2001
4,68.9,18,203.3,86.0,5.3,27.7,25.864722222222223,2001-04-01,2001
5,56.1,12,164.9,85.0,6.0,28.5,26.47056451612903,2001-05-01,2001
6,49.6,11,137.1,82.5,4.9,28.2,25.770972222222223,2001-06-01,2001
7,44.8,9,111.3,80.8,8.1,28.4,25.788037634408603,2001-07-01,2001
