,date,specialist outpatient clinics,accident & emergency departments,polyclinics
215,2006-01-01,271747,56313,283681
216,2005-12-01,284436,53133,321201
217,2005-11-01,273532,52388,302919
218,2005-10-01,294557,56724,321195
219,2005-09-01,299366,56235,329674
220,2005-08-01,308163,59155,356411
221,2005-07-01,294753,59062,345632
222,2005-06-01,294458,55388,336047
223,2005-05-01,280697,55795,315280
224,2005-04-01,286922,52127,340620
225,2005-03-01,306941,52216,343389
226,2005-02-01,241306,50234,277987
227,2005-01-01,287440,55854,323025
228,2004-12-01,286503,54404,326902
229,2004-11-01,273147,52621,311036
230,2004-10-01,275466,54424,330511
231,2004-09-01,293028,51037,326471
232,2004-08-01,289469,54698,323275
233,2004-07-01,299167,53535,340399
234,2004-06-01,276451,51036,302981
235,2004-05-01,271424,52477,315397
236,2004-04-01,273914,48694,316445
237,2004-03-01,295695,49482,332037
238,2004-02-01,251886,47814,291976
239,2004-01-01,247400,48268,274240
240,2003-12-01,262613,47829,310825
241,2003-11-01,232265,47141,274361
242,2003-10-01,268344,49134,309502
243,2003-09-01,252540,45559,301271
244,2003-08-01,254373,43351,283604
245,2003-07-01,278499,42212,290265
246,2003-06-01,220898,39893,241131
247,2003-05-01,147454,40638,232110
248,2003-04-01,123078,36241,210551
249,2003-03-01,253188,53284,310858
250,2003-02-01,234197,50675,259915
251,2003-01-01,279052,56276,312884
252,2002-12-01,237363,50796,268028
253,2002-11-01,254954,46768,274619
254,2002-10-01,283617,49004,299255
255,2002-09-01,255292,47799,274528
256,2002-08-01,265228,50386,283600
257,2002-07-01,285704,50799,305180
258,2002-06-01,243787,47984,261082
259,2002-05-01,263159,55291,289339
260,2002-04-01,266837,51593,299126
261,2002-03-01,243081,51276,280113
262,2002-02-01,210296,46036,228088
263,2002-01-01,270127,49254,281266
264,2001-12-01,210784,46547,239206
265,2001-11-01,245073,47447,257501
266,2001-10-01,258758,48251,280164
267,2001-09-01,225011,45621,250151
268,2001-08-01,254321,47342,261313
269,2001-07-01,255409,46843,256550
270,2001-06-01,237607,44715,246940
271,2001-05-01,242932,48650,250001
272,2001-04-01,231734,47466,243533
273,2001-03-01,240816,47554,258148
274,2001-02-01,225532,44519,245730
275,2001-01-01,220236,50420,234557
276,2000-12-01,201676,45271,218240
277,2000-11-01,238047,42472,234376
278,2000-10-01,224676,46396,228565
279,2000-09-01,225445,43695,221721
280,2000-08-01,238884,44801,231937
281,2000-07-01,234149,43814,222291
282,2000-06-01,235975,41781,210003
283,2000-05-01,236575,48000,219097
284,2000-04-01,218947,46513,245204
285,2000-03-01,245067,45363,228379
286,2000-02-01,206766,44521,240046
287,2000-01-01,223525,44715,228518
288,1999-12-01,232620,43181,231450
289,1999-11-01,229992,44366,249108
290,1999-10-01,223286,45331,242430
291,1999-09-01,229007,43732,254825
292,1999-08-01,225190,43628,246811
293,1999-07-01,235089,42773,232030
294,1999-06-01,225551,41457,239878
295,1999-05-01,213318,43991,238628
296,1999-04-01,194834,43348,236582
297,1999-03-01,229481,45309,240734
298,1999-02-01,201856,44903,265980
299,1999-01-01,203446,50897,246462
300,1998-12-01,209194,41323,235142
301,1998-11-01,204874,41036,258746
302,1998-10-01,204968,43083,230514
303,1998-09-01,210883,43501,267970
304,1998-08-01,197313,46296,253397
305,1998-07-01,218756,43449,244366
306,1998-06-01,203574,41214,253977
307,1998-05-01,188663,46366,232367
308,1998-04-01,199401,43608,246080
309,1998-03-01,210422,43896,234952
310,1998-02-01,191322,40017,235605
311,1998-01-01,174536,45025,240232
312,1997-12-01,194466,41810,232642
313,1997-11-01,190216,39363,237930
314,1997-10-01,200476,39803,248863
315,1997-09-01,202851,43042,258113
316,1997-08-01,198327,45849,242772
317,1997-07-01,219511,48330,242569
318,1997-06-01,192344,48460,251551
319,1997-05-01,191820,55184,237388
320,1997-04-01,201030,45982,248269
321,1997-03-01,187549,47979,238673
322,1997-02-01,157389,44219,226097
323,1997-01-01,200153,47157,245499
324,1996-12-01,184212,47690,237050
325,1996-11-01,181390,44836,239526
326,1996-10-01,203355,46042,248733
327,1996-09-01,186369,45889,262593
328,1996-08-01,188152,43942,234629
329,1996-07-01,207750,45784,247142
330,1996-06-01,175696,44903,238465
331,1996-05-01,187867,48335,235512
332,1996-04-01,178144,42447,247256
333,1996-03-01,185176,44027,243281
334,1996-02-01,154571,43252,213712
335,1996-01-01,192444,44686,244242
336,1995-12-01,167961,43235,220365
337,1995-11-01,186011,43657,254036
338,1995-10-01,172445,42663,232484
339,1995-09-01,171289,40330,237782
340,1995-08-01,185264,42011,233306
341,1995-07-01,175542,43837,235811
342,1995-06-01,178897,42181,231417
343,1995-05-01,172806,46915,224820
344,1995-04-01,161175,42611,236400
345,1995-03-01,183304,45136,231174
346,1995-02-01,154737,41550,236114
347,1995-01-01,161879,46006,247877
348,1994-12-01,165858,42527,219946
349,1994-11-01,166778,38410,236006
350,1994-10-01,167943,40993,242849
351,1994-09-01,171281,39578,230907
352,1994-08-01,176960,40310,231036
353,1994-07-01,168182,41475,230724
354,1994-06-01,167896,41156,244288
355,1994-05-01,159136,45191,220486
356,1994-04-01,153030,43237,246299
357,1994-03-01,171444,43285,223662
358,1994-02-01,133064,40041,229561
359,1994-01-01,162329,43734,243484
360,1993-12-01,161522,42640,235918
361,1993-11-01,158088,40354,249118
362,1993-10-01,154771,40681,235071
363,1993-09-01,159913,39421,241922
364,1993-08-01,158256,42913,254027
365,1993-07-01,160752,42846,235439
366,1993-06-01,153968,41630,249993
367,1993-05-01,152445,44233,247751
368,1993-04-01,159001,41673,254092
369,1993-03-01,165226,42512,222707
